Dublin Core: Title,Dublin Core: Subject,Dublin Core: Description,Dublin Core: Creator,Dublin Core: Source,Dublin Core: Publisher,Dublin Core: Date,Dublin Core: Rights,Dublin Core: Format,Dublin Core: Language,Dublin Core: Type,Dublin Core: Identifier,Dublin Core: Coverage,Dublin Core: File Path,Dublin Core: Tags
"Aristote amoureux: ou le philosophe bridé; opéra-comique, en un acte & en Vaudeville; représenté pour la première fois par les Comédiens Italiens ordinaires du Roi, le vendredi 22 août 1780",Comic operas,Musique de Pierre-Antoine-Augustin de Piipp. Texte de Pierre Yon Barré,"Piis, Pierre-Antoine-Augustin de",Goethe Universität Frankfurt am Main,Vente,1780,Public Domain,33 pp.,fre,Text,urn:nbn:de:hebis:30:3-246901,,https://www.dropbox.com/s/dzb3qgnmwduhyox/Aristote%20amoureux.pdf?raw=1,
"Nina, oder Wahnsinn aus Liebe: eine Operette in einem Aufzuge",Operetta ,die Musik ist von ... Dallairac. Aus dem Franz. überpp. von Johann André,"Dalayrac, Nicolas",Goethe Universität Frankfurt am Main,Langen,1787,Public Domain,48 pp.,ger,Text,urn:nbn:de:hebis:30:3-246827,,https://www.dropbox.com/s/km79xdytdnd3yn3/Nina%20oder%20Wahnsinn%20aus%20Liebe.pdf?raw=1,
Samson: ein Oratorium,Oratorios,"aus dem Engl. des Milton zu Händel's Musik ; frei überpp., und in dieser die Instrumentalbegleitung vermehrt von I. F. von Mosel","Händel, Georg Friedrich",Goethe Universität Frankfurt am Main,Adler,1819,Public Domain,16 pp.,ger,Text,urn:nbn:de:hebis:30:2-238629,,https://www.dropbox.com/s/6e0ozbhxxpd738e/Samson.pdf?raw=1,
Arien und Gesänge aus der komischen Oper: Der Maurer: in drei Akten,Comic operas,Musik von Auber. Nach dem Franz. der ... Scribe und Delavigne von Louis Angely,"Auber, Daniel-François-Esprit",Goethe Universität Frankfurt am Main,Königsstädtisches Theater,1830,Public Domain,51 pp.,ger,Text,urn:nbn:de:hebis:30:3-247539,,https://www.dropbox.com/s/33ku5s4yy8qfdzo/Arien%20und%20Ges%C3%A4nge%20aus%20der%20komischen%20Oper%20Der%20Maurer.pdf?raw=1,
Judas Maccabäus: ein geistliches Oratorium,Oratorios,in Musik gesetzt von Georg Friedrich Händel. [Überpp. von Eschenburg],"Händel, Georg Friedrich",Goethe Universität Frankfurt am Main,Univ.-Bibliothek,1832,Public Domain,16 pp.,ger,Text,urn:nbn:de:hebis:30:2-238562,,https://www.dropbox.com/s/lrepqrsq4x9en7n/Judas%20Maccab%C3%A4us.pdf?raw=1,
"Lestocq, oder: Intrigue und Liebe: Oper in 4 Aufzügen",Operas,"nach dem Franz. des Scribe, zur beibehaltenen Musik von Auber. Für die dt. Bühne bearb. von dem ... von Lichtenstein","Auber, Daniel-François-Esprit",Goethe Universität Frankfurt am Main,Schulz,1835,Public Domain,56 pp.,ger,Text,urn:nbn:de:hebis:30:3-247526,,https://www.dropbox.com/s/9w9hfqotglo3w8h/Lestocq%20oder%20Intrigue%20und%20Liebe.pdf?raw=1,
Karl der Sechste: große Oper in fünf Akten,Operas,Musik von F. Halevy. Nach dem Franz. von Casimir und Germain Delavigne,"Halévy, Fromental",Goethe Universität Frankfurt am Main,Kayser,1845,Public Domain,62 pp.,ger,Text,urn:nbn:de:hebis:30:2-239269,,https://www.dropbox.com/s/znbwfjhpgch426b/Karl%20der%20Sechste.pdf?raw=1,
Die Königin von Cypern: große Oper in fünf Aufzügen,Operas,,"Halévy, Fromental",Goethe Universität Frankfurt am Main,Schultz,1855,Public Domain,45 pp.,ger,Text,urn:nbn:de:hebis:30:2-239275,,https://www.dropbox.com/s/719u0m6ferlo5dm/Die%20K%C3%B6nigin%20von%20Cypern.pdf?raw=1,
"Der Schwur, oder: die Falschmünzer: komische Oper in drei Abtheilungen; Gesänge",Operas,Musik von Auber. Nach dem Franz. des Scribe von Dr. Petit,"Auber, Daniel-François-Esprit",Goethe Universität Frankfurt am Main,Heller und Rohm,1856,Public Domain,52 pp.,ger,Text,urn:nbn:de:hebis:30:2-224701,,https://www.dropbox.com/s/gsxvme33225pqvy/Der%20Schwur%20oder%20die%20Falschm%C3%BCnzer.pdf?raw=1,
Salomo: großes Oratorium; in drei Abtheilungen; 1749,Oratorios,,"Händel, Georg Friedrich",Goethe Universität Frankfurt am Main,Lange,1862,Public Domain,16 pp.,ger,Text,urn:nbn:de:hebis:30:2-238615,,https://www.dropbox.com/s/z62o9g9prc06b35/Salomo.pdf?raw=1,
Die Stumme von Portici: große historische Oper in 5 Akten,Operas,Musik von D. F. E. Auber. [Text] von Eugen Scribe. Neu rev. dt. Text der Gesänge mit Angabe des Inhalts der Oper und einer Einf. in dieselbe von Hermann Mendel,"Auber, Daniel-François-Esprit",Goethe Universität Frankfurt am Main,Mode,1880,Public Domain,32 pp.,ger,Text,urn:nbn:de:hebis:30:3-259017,,https://www.dropbox.com/s/xd9rf745lnln1di/Die%20Stumme%20von%20Portici.pdf?raw=1,
Die Jüdin: große Oper in 5 Akten; specielle Bearbeitung für das Frankfurter Opernhaus,Operas,Musik von J. F. Halevy. [Text] von E. Scribe,"Halévy, Fromental",Goethe Universität Frankfurt am Main,Horstmann,1880,Public Domain,31 pp.,ger,Text,urn:nbn:de:hebis:30:2-239254,,https://www.dropbox.com/s/s1wgn3jpbxbqois/Die%20J%C3%BCdin.pdf?raw=1,
"Susanna: Oratorium für Soli, Chor, Orchester, Klavier und Orgel; Rühl'scher Gesangverein ...",Oratorios,von G. F. Händel. Überpp. von G. G. Gervinus,"Händel, Georg Friedrich",Goethe Universität Frankfurt am Main,Rieter-Biedermann,1881,Public Domain,24 pp.,ger,Text,urn:nbn:de:hebis:30:2-238652,,https://www.dropbox.com/s/tuygbmliyb9gjn1/Susanna.pdf?raw=1,
Der Messias,Oratorios,von G. F. Händel. Nach der Bearb. von W. A. Mozart,"Händel, Georg Friedrich",Goethe Universität Frankfurt am Main,Breitkopf & Härtel,1885,Public Domain,14 pp.,ger,Text,urn:nbn:de:hebis:30:2-238588,,https://www.dropbox.com/s/xkg2mpugxxbweri/Der%20Messias.pdf?raw=1,
Judas Maccabäus: Oratorium,Oratorios,,"Händel, Georg Friedrich",Goethe Universität Frankfurt am Main,Peters,1885,Public Domain,19 pp.,ger,Text,urn:nbn:de:hebis:30:2-238539,,https://www.dropbox.com/s/pj31iy0rforzypj/Judas%20Maccab%C3%A4us%20%281%29.pdf?raw=1,
